alloc_key,NAME,lon,lat,statearea,maize,tavg,srad,prec,wind,PHIHOX,BDRICM,BLD,CLYPPT,TEXMHT,ORCDRC,DRAINFAO,EVI,NDVI,slope,elevation
8082,Ribaue,38.453855008699996,-14.6252979706,644555.7567714689,11226.0,24.358332,17325.25,87.583336,1.2,62.0,111.0,1370.0,17.0,9.0,11.0,5.0,0.3034,0.5880000000000001,0.78564143,423.0
8497,Ribaue,37.988362503299996,-14.8949476529,644555.7567714689,11226.0,23.341667,16929.334,90.083336,1.2,61.0,138.0,1380.0,16.0,9.0,12.0,5.0,0.3229,0.5771000000000001,0.8219791,594.0
8636,Ribaue,37.894944748200004,-14.9849143432,644555.7567714689,11226.0,22.891668,16879.0,92.083336,1.3,62.0,124.0,1380.0,14.0,9.0,10.0,5.0,0.3155,0.5116,1.9647632,661.0
8638,Ribaue,38.0809363957,-14.985740191700001,644555.7567714689,11226.0,23.041666,16906.166,93.75,1.2,62.0,129.0,1430.0,14.0,9.0,9.0,5.0,0.318,0.4625,1.4731827,671.0
9772,Mogovolas,39.384372395999996,-15.7105308232,454898.1983127426,3914.0,25.283333,18582.834,88.416664,1.2,64.0,140.0,1470.0,11.0,9.0,8.0,5.0,0.3383,0.5690000000000001,1.3230503,175.0
10054,Mogovolas,39.5715368492,-15.890925166199999,454898.1983127426,3914.0,25.075003,18719.084,87.833336,1.5,63.0,138.0,1430.0,13.0,9.0,8.0,5.0,0.3425,0.5359,0.5638575,144.0
6928,N'gauma,35.3112028565,-13.8747289394,284491.9811814729,4376.0,19.824999,17749.166,89.833336,2.2,56.0,162.0,1270.0,22.0,6.0,13.0,5.0,0.25270000000000004,0.5145000000000001,0.63806117,1228.0
6929,N'gauma,35.4035656101,-13.8761066005,284491.9811814729,4376.0,20.283335,17715.916,91.0,2.0,59.0,123.0,1400.0,16.0,9.0,9.0,5.0,0.29710000000000003,0.537,1.2037698,1148.0
7069,N'gauma,35.4021682994,-13.9663479499,284491.9811814729,4376.0,20.65,17572.416,91.166664,2.1,59.0,126.0,1370.0,20.0,9.0,9.0,5.0,0.2639,0.4858,0.47876906,1072.0
7210,N'gauma,35.4932053937,-14.057949549100002,284491.9811814729,4376.0,20.841665,17561.666,90.0,2.1,58.0,137.0,1290.0,28.0,6.0,14.0,6.0,0.2605,0.5215000000000001,5.465198,1009.0
7211,N'gauma,35.5856595065,-14.059275357999999,284491.9811814729,4376.0,21.933334,17472.166,90.583336,2.0,59.0,149.0,1310.0,28.0,6.0,11.0,5.0,0.27790000000000004,0.5364,1.6028329,858.0
8913,Malema,37.6148119105,-15.1641614636,608877.7828799557,12265.0,21.908333,16786.5,100.333336,1.3,58.0,152.0,1250.0,27.0,6.0,20.0,6.0,0.4052,0.6115,2.6999779,867.0
8068,Malema,37.1541850088,-14.6186282221,608877.7828799557,12265.0,23.941668,16888.334,80.5,1.3,61.0,120.0,1350.0,19.0,9.0,13.0,5.0,0.2442,0.4433,0.5410203,531.0
8207,Malema,37.0605863803,-14.708237609600001,608877.7828799557,12265.0,24.074999,16860.916,81.666664,1.2,59.0,133.0,1370.0,20.0,6.0,14.0,4.0,0.2503,0.4566,0.50493246,545.0
8631,Malema,37.4300248782,-14.982186198299999,608877.7828799557,12265.0,22.199999,16810.916,87.5,1.3,61.0,89.0,1420.0,17.0,9.0,8.0,5.0,0.2927,0.48260000000000003,1.1134421,682.0
8772,Malema,37.5223791497,-15.073189468099999,608877.7828799557,12265.0,22.5,16831.084,92.916664,1.3,62.0,113.0,1320.0,23.0,6.0,12.0,5.0,0.28190000000000004,0.49100000000000005,1.496181,745.0
7872,Maravia,31.9755851073,-14.430329690999999,1673164.527127983,3859.0,22.216665,17934.334,94.833336,2.1,62.0,109.0,1430.0,15.0,9.0,12.0,4.0,0.2782,0.4954,0.35467866,1020.0
7873,Maravia,32.0676700395,-14.433067595499999,1673164.527127983,3859.0,22.324999,18022.75,93.333336,1.7,61.0,138.0,1480.0,12.0,9.0,11.0,5.0,0.23850000000000002,0.4615,0.6384894,966.0
7874,Maravia,32.1597741963,-14.4357700374,1673164.527127983,3859.0,22.491667,18015.25,92.416664,1.8,61.0,105.0,1380.0,12.0,9.0,14.0,5.0,0.2849,0.5284,0.95674866,932.0
8149,Maravia,31.6935350528,-14.6012598854,1673164.527127983,3859.0,22.099998,17781.084,93.583336,2.1,62.0,134.0,1350.0,22.0,6.0,14.0,4.0,0.215,0.42910000000000004,0.66186297,984.0
8155,Maravia,32.246423021,-14.618007733199999,1673164.527127983,3859.0,23.375,18010.084,90.833336,1.7,64.0,100.0,1350.0,15.0,9.0,16.0,4.0,0.2808,0.48500000000000004,1.5965849,781.0
8286,Maravia,31.4142644329,-14.6820219523,1673164.527127983,3859.0,21.583334,17842.584,89.416664,2.2,60.0,142.0,1360.0,27.0,6.0,15.0,4.0,0.2577,0.47440000000000004,0.6943988,979.0
22606,Panda,34.885652101,-23.9693911994,752721.7726504435,6981.0,23.641668,17449.834,67.5,1.7,61.0,144.0,1350.0,9.0,11.0,8.0,5.0,0.34800000000000003,0.5762,1.3089553,109.0
22746,Panda,34.8827799917,-24.059479880500003,752721.7726504435,6981.0,23.933332,17395.25,68.833336,1.7,60.0,136.0,1340.0,9.0,11.0,8.0,5.0,0.3033,0.5188,0.7390857,82.0
22886,Panda,34.879893723,-24.1495671771,752721.7726504435,6981.0,23.966667,17471.834,69.166664,1.7,60.0,149.0,1340.0,10.0,11.0,8.0,5.0,0.3128,0.5543,1.3717407,92.0
23298,Panda,34.0845718602,-24.3962788867,752721.7726504435,6981.0,23.974998,17130.666,64.916664,1.6,61.0,158.0,1290.0,10.0,11.0,12.0,5.0,0.3058,0.5159,1.4748751,48.0
13917,Gorongosa,34.1882681233,-18.3617784881,683352.7441122661,5439.0,22.483332,17857.75,90.666664,1.5,60.0,118.0,1360.0,27.0,6.0,33.0,6.0,0.43310000000000004,0.7172000000000001,7.221386,451.0
14057,Gorongosa,34.1857596209,-18.451840614800002,683352.7441122661,5439.0,22.225,17851.0,92.25,1.5,60.0,136.0,1280.0,30.0,6.0,25.0,6.0,0.4978,0.7131000000000001,6.29368,419.0
14196,Gorongosa,34.0888247229,-18.539464695699998,683352.7441122661,5439.0,21.466667,17702.916,100.916664,1.5,59.0,135.0,1240.0,27.0,6.0,31.0,5.0,0.4093,0.7622,7.2526045,614.0
