Pixel,lat,lon,State,Fraction,MaizeArea
162744,-17.57455,34.61671,Maringue,0.00551436,0.451626084
162745,-16.90842,38.46946,Pebane,0.03045163,2.493988497
162746,-16.34691,36.87037,Lugela,0.00046494,0.038078586
164014,-19.53957,34.97517,Dondo,0.00228344,0.187013736
164015,-21.72251,33.17195,Mabote,0.00056691,0.046429929
164016,-17.33706,35.36441,Morrumbala,0.00078408,0.064216152
164017,-15.11306,30.53464,Zumbu,0.00066013,0.054064647
164018,-18.49594,34.68831,Cheringoma,0.00040253,0.032967207
164019,-17.96796,35.32343,Cheringoma,0.0038183,0.31271877
165285,-24.03586,34.82774,Panda,0.07429534,6.084788346
165286,-16.85484,39.10796,Pebane,0.00679236,0.556294284
165287,-16.84367,35.03667,Mutarara,0.0116215,0.95180085
165288,-24.31814,35.28104,Inharrime,0.33998254,27.84457003
165289,-18.60948,33.21131,Manica,0.00218863,0.179248797
165290,-14.56587,38.1042,Lalaua,0.12576332,10.30001591
165291,-13.97735,40.10641,Memba,0.00285211,0.233587809
165292,-26.86236,32.56025,Matutuine,0.03961275,3.244284225
166555,-16.16518,36.76949,Lugela,0.00212976,0.174427344
166556,-14.35642,35.82491,Mecanhelas,0.01618595,1.325629305
166557,-11.05858,39.48982,Mueda,0.00166562,0.136414278
166558,-16.83378,37.88776,Maganja_da_Cost,0.0053083,0.43474977
166559,-18.74899,33.35775,Manica,0.00082948,0.067934412
166560,-16.10812,37.47117,Ile,0.006856,0.5615064
166561,-15.90404,39.83609,Angoche,0.01338801,1.096478019
166562,-14.3323,39.31066,Mecuburi,0.01745295,1.429396605
166563,-15.74876,36.69014,Namarroi,0.08217051,6.729764769
166564,-21.10603,34.50199,Machanga,0.00129773,0.106284087
166565,-21.62798,33.30092,Mabote,0.00191251,0.156634569
167825,-16.69752,35.43294,Morrumbala,0.03942826,3.229174494
167826,-16.56516,38.57352,Pebane,0.00631316,0.517047804
167827,-16.05653,37.90153,Alto_Molocue,0.04173628,3.418201332
167828,-18.02336,34.93565,Caia,0.05208127,4.265456013
167829,-17.02215,37.65181,Maganja_da_Cost,0.01052164,0.861722316
167830,-21.58984,33.50458,Mabote,0.00665775,0.545269725
167831,-15.53053,40.4033,Mongincual,0.0038922,0.31877118
167832,-14.3051,39.36626,Muecate,0.00257719,0.211071861
167833,-15.29955,36.12744,Mecanhelas,0.03577277,2.929789863
167834,-16.87902,37.89689,Maganja_da_Cost,0.00781076,0.639701244
167835,-15.28151,39.38653,Nampula,0.1198716,9.81748404
167836,-14.55475,37.66803,Malema,0.02202568,1.803903192
167837,-16.47883,36.54123,Lugela,0.03152749,2.582101431
167838,-16.97206,38.63836,Pebane,0.00552799,0.452742381
169096,-15.643,39.46184,Mogovolas,0.02942492,2.409900948
169097,-16.39151,36.81373,Lugela,0.0036839,0.30171141
169098,-15.26512,30.76845,Zumbu,0.00388421,0.318116799
169099,-17.68363,34.26609,Maringue,0.02597477,2.127333663
169100,-21.14658,34.67375,Govuro,0.1057956,8.66465964
169101,-16.87273,34.68945,Mutarara,0.00364336,0.298391184
169102,-14.45867,39.44074,Muecate,0.00068624,0.056203056
169103,-15.58811,39.70422,Meconta,0.0341253,2.79486207
169104,-15.19,38.19471,Ribaue,0.00327493,0.268216767
169105,-17.54532,34.93706,Caia,0.01678627,1.374795513
169106,-15.48067,39.18179,Meconta,0.00968546,0.793239174
169107,-17.93433,36.64458,Mopeia,0.01262242,1.033776198
169108,-15.01406,37.40484,Malema,0.03303215,2.705333085
169109,-15.06282,39.96297,Meconta,0.01325739,1.085780241
169110,-19.52728,35.24188,Muanza,0.11847272,9.702915768
169111,-23.71746,35.06321,Homoine,0.01449747,1.187342793
171640,-17.5454,34.52343,Maringue,0.00651634,0.533688246
172912,-21.99556,34.3971,Mabote,0.02233082,1.828894158
172913,-15.75457,37.32453,Ile,0.17439871,14.28325435
174183,-14.36865,38.89334,Mecuburi,0.01532224,1.254891456
174184,-15.7465,37.45524,Alto_Molocue,0.00292386,0.239464134
174185,-15.61544,30.79151,Zumbu,0.00077712,0.063646128
174186,-17.96636,35.73839,Mopeia,0.00074339,0.060883641
175455,-14.79319,30.85112,Zumbu,0.04451185,3.645520515
175456,-15.11736,30.89414,Zumbu,0.00266229,0.218041551
175457,-14.04042,40.15301,Memba,0.00407288,0.333568872
175458,-17.20515,38.04543,Maganja_da_Cost,0.00442027,0.362020113
175459,-13.85943,37.81088,Nipepe,0.09989189,8.181145791
176726,-14.65075,36.2474,Cuamba,0.03659687,2.997283653
176727,-15.89818,37.20195,Ile,0.00631302,0.517036338
176728,-15.55854,40.2543,Mongincual,0.05719459,4.684236921
176729,-21.20147,34.36453,Machanga,0.0313679,2.56903101
176730,-15.7404,37.94991,Alto_Molocue,0.02538566,2.079085554
176731,-18.21004,34.80865,Maringue,0.00190508,0.156026052
176732,-17.7942,34.36668,Maringue,0.00534433,0.437700627
177998,-15.95334,36.40769,Lugela,0.00683397,0.559702143
177999,-17.95946,34.89942,Caia,0.42691843,34.96461942
178000,-16.28524,39.21996,Moma,0.00115404,0.094515876
178001,-15.85212,37.09967,Ile,0.00426079,0.348958701
178002,-15.08966,31.38436,Zumbu,0.032745,2.6818155
178003,-17.80997,34.27217,Maringue,0.00468983,0.384097077
178004,-20.1948,34.13733,Buzi,0.1283426,10.51125894
178005,-23.1487,34.37806,Funhalouro,0.00018278,0.014969682
179267,-15.32663,39.43319,Nampula,0.02478344,2.029763736
179268,-17.31485,36.99119,Namacurra,0.25967359,21.26726702
179269,-15.50737,39.47086,Meconta,0.00169968,0.139203792
179270,-15.20015,39.38638,Nampula,0.02789688,2.284754472
179271,-17.55652,34.61715,Maringue,0.00152223,0.124670637
179272,-20.24779,34.43173,Buzi,0.00653693,0.535374567
179273,-16.14974,38.9205,Gile,0.02480112,2.031211728
179274,-19.07471,34.03832,Nhamatanda,0.1669575,13.67381925
179275,-16.96329,38.84502,Pebane,0.00534368,0.437647392
179276,-16.64418,37.92637,Maganja_da_Cost,0.01479528,1.211733432
179277,-16.50109,38.28319,Pebane,0.00331741,0.271695879
179278,-15.02244,36.36351,Cuamba,0.02754048,2.255565312
180539,-14.07017,39.2362,Mecuburi,0.00418134,0.342451746
180540,-16.21168,36.89988,Lugela,0.00780906,0.639562014
180541,-18.9224,33.14384,Manica,0.18150012,14.86485983
180542,-15.90282,36.73506,Namarroi,0.00413563,0.338708097
180543,-15.07068,36.64183,Cuamba,0.00533096,0.436605624
180544,-15.29777,38.01734,Gile,0.25878414,21.19442107
180545,-16.25731,36.94616,Lugela,0.01966229,1.610341551
180546,-15.13719,39.05119,Nampula,0.05050308,4.136202252
180547,-11.72754,35.01553,Lago,0.03095203,2.534971257
180548,-16.33273,34.31865,Mutarara,0.0033909,0.27771471
180549,-14.64482,40.38822,Nacala_Velha,0.00331433,0.271443627
180550,-19.11227,34.82434,Muanza,0.07061072,5.783017968
180551,-23.23002,34.38501,Funhalouro,0.00091412,0.074866428
186897,-17.02492,38.16849,Pebane,0.00301307,0.246770433
188169,-24.25473,34.91896,Inharrime,0.150946,12.3624774
188170,-15.43514,39.42409,Meconta,0.00256267,0.209882673
189441,-15.15057,40.4566,Mossuril,0.02857669,2.340430911
189442,-15.58909,39.25651,Meconta,0.00227689,0.186477291
189443,-17.91933,34.71192,Maringue,0.00152389,0.124806591
190713,-16.71721,38.07603,Pebane,0.0767362,6.28469478
190714,-24.14591,34.27408,Panda,0.04259198,3.488283162
190715,-15.04307,40.29775,Monapo,0.06833127,5.596331013
190716,-17.52362,36.31105,Mopeia,0.0087109,0.71342271
191965,-16.94407,38.30032,Pebane,0.00048867,0.040022073
191966,-15.96721,36.84641,Namarroi,0.00318225,0.260626275
191967,-19.37939,34.31403,Nhamatanda,0.0049735,0.40732965
191968,-16.98506,35.36189,Morrumbala,0.00711579,0.582783201
191969,-16.41807,37.89952,Ile,0.05722586,4.686797934
191970,-17.34854,34.1997,Maringue,0.01943601,1.591809219
191985,-15.1418,30.34914,Zumbu,0.00058786,0.048145734
191986,-17.69912,34.16224,Maringue,0.0109425,0.89619075
191987,-14.53757,37.83518,Lalaua,0.00180289,0.147656691
191988,-16.55505,38.20802,Pebane,0.00128686,0.105393834
191989,-18.48671,34.67909,Gorongosa,0.04374857,3.583007883
193235,-23.6876,34.62352,Panda,0.00561167,0.459595773
193236,-17.78914,34.5362,Maringue,0.00194074,0.158946606
193237,-14.0459,37.25437,Maua,0.01000953,0.819780507
193238,-21.91616,33.56931,Mabote,0.02612346,2.139511374
193239,-14.72052,36.86844,Cuamba,0.02371616,1.942353504
193240,-15.84529,37.37047,Ile,0.02642216,2.163974904
193241,-20.54503,34.42294,Buzi,0.00728901,0.596969919
193242,-15.92186,39.90156,Angoche,0.00310586,0.254369934
193243,-19.5515,34.34711,Nhamatanda,0.0056681,0.46421739
193244,-16.13425,37.34008,Ile,0.00246258,0.201685302
193245,-16.92469,37.99052,Maganja_da_Cost,0.0058918,0.48253842
193246,-16.25819,39.1357,Moma,0.00040802,0.033416838
193247,-14.8366,31.32879,Zumbu,0.11220886,9.189905634
193256,-20.37004,34.6289,Buzi,0.00742175,0.607841325
193257,-16.16653,39.74365,Angoche,0.06849734,5.609932146
193258,-17.67663,35.18821,Caia,0.0153117,1.25402823
193259,-17.47215,35.87902,Morrumbala,0.03226079,2.642158701
193260,-19.30362,34.17381,Nhamatanda,0.07525973,6.163771887
193261,-24.0916,34.26626,Panda,0.08255477,6.761235663
193262,-14.37771,38.97681,Mecuburi,0.00410663,0.336332997
200846,-16.27295,37.80676,Ile,0.02086559,1.708891821
202117,-15.90328,37.98643,Alto_Molocue,0.02170516,1.777652604
202118,-12.52904,34.91175,Lago,0.01064771,0.872047449
202119,-11.77391,35.10645,Lago,0.03012921,2.467582299
203388,-16.60142,39.37031,Moma,0.00450754,0.369167526
203389,-12.25844,34.91598,Lago,0.01869602,1.531204038
203390,-22.10211,33.47523,Mabote,0.04002104,3.277723176
203391,-16.47504,38.74235,Pebane,0.00778874,0.637897806
203392,-20.22938,33.77353,Chibabava,0.2164567,17.72780373
204660,-15.77096,37.11909,Ile,0.00055838,0.045731322
204661,-21.64695,33.32906,Mabote,0.00155245,0.127145655
204662,-18.86797,32.85272,Manica,0.12911723,10.57470114
204663,-16.18552,39.40695,Moma,0.05928496,4.855438224
204664,-16.01079,37.79898,Alto_Molocue,0.00226719,0.185682861
204665,-15.4704,39.75975,Meconta,0.02602464,2.131418016
209737,-14.72661,31.25894,Zumbu,0.00759431,0.621973989
209738,-14.97391,39.49757,Muecate,0.01227889,1.005641091
210967,-16.64209,35.35908,Morrumbala,0.00569851,0.466707969
210968,-15.15033,40.49382,Mossuril,0.01003204,0.821624076
211008,-12.34112,35.01564,Lago,0.00774042,0.633940398
211009,-23.78583,34.59085,Panda,0.00893491,0.731769129
211010,-20.10693,33.59646,Chibabava,0.00834236,0.683239284
211011,-16.10874,36.56453,Lugela,0.03483535,2.853015165
212240,-16.66223,35.48041,Morrumbala,0.02561828,2.098137132
212241,-16.12578,37.41494,Ile,0.01029435,0.843107265
212242,-15.21581,37.88739,Ribaue,0.0717144,5.87340936
212280,-15.13147,36.41796,Cuamba,0.01477586,1.210142934
212281,-22.84226,33.7955,Funhalouro,0.00276119,0.226141461
212282,-14.13357,39.08802,Mecuburi,0.0013751,0.11262069
212283,-14.52161,39.59864,Muecate,0.00146186,0.119726334
212284,-16.00715,37.26638,Ile,0.00232586,0.190487934
213474,-12.10577,34.96416,Lago,0.00295501,0.242015319
213475,-14.57127,36.40606,Cuamba,0.03165659,2.592674721
213513,-16.07149,37.40602,Ile,0.00285857,0.234116883
213514,-15.26379,36.15583,Mecanhelas,0.0116291,0.95242329
213515,-18.82008,33.32701,Manica,0.01418058,1.161389502
213552,-23.25646,34.36459,Funhalouro,0.00363238,0.297491922
213553,-16.86294,35.60794,Morrumbala,0.00822839,0.673905141
213554,-15.37959,39.87123,Mongincual,0.00148371,0.121515849
213555,-17.78586,34.39512,Maringue,0.00352318,0.288548442
213556,-15.38867,39.86195,Mongincual,0.00240468,0.196943292
213557,-15.12163,37.28309,Gurue,0.25530879,20.9097899
214747,-16.84202,34.9524,Mutarara,0.01035318,0.847925442
214748,-24.43302,34.23389,Inharrime,0.01787584,1.464031296
214786,-16.3567,39.64138,Angoche,0.00265914,0.217783566
214787,-23.09797,33.90252,Funhalouro,5.83E-05,0.004775589
214788,-16.26724,39.12635,Moma,0.00105903,0.086734557
214789,-14.96868,40.62272,Mossuril,0.00492861,0.403653159
214824,-19.92891,33.97403,Chibabava,0.02237819,1.832773761
214825,-14.09415,37.74484,Nipepe,0.12357837,10.1210685
214826,-14.9771,40.70646,Mossuril,0.01854567,1.518890373
214827,-19.95151,34.47847,Buzi,0.00407071,0.333391149
214828,-15.25995,37.69162,Alto_Molocue,0.04968179,4.068938601
214829,-21.87354,34.22723,Mabote,0.00183987,0.150685353
214830,-14.66581,38.2431,Ribaue,0.01007948,0.825509412
216019,-15.57607,37.65234,Alto_Molocue,0.00800216,0.655376904
216020,-15.09038,38.14856,Ribaue,0.03343644,2.738444436
216021,-15.03027,36.26118,Mecanhelas,0.05532036,4.530737484
216059,-20.98119,34.55374,Machanga,0.00570689,0.467394291
216060,-16.53591,37.96445,Pebane,0.00914771,0.749197449
216061,-16.09549,38.92052,Gile,0.00762891,0.624807729
216062,-16.23566,37.61987,Ile,0.0186589,1.52816391
216063,-17.92118,34.79666,Caia,0.00983918,0.805828842
216064,-14.85177,30.98713,Zumbu,0.12052403,9.870918057
216065,-11.22171,38.83053,Mueda,0.00010124,0.008291556
216066,-17.21839,35.81755,Morrumbala,0.01426881,1.168615539
216067,-13.66771,40.5302,Memba,0.01679949,1.375878231
217341,-15.29644,35.89489,Mecanhelas,0.02036582,1.667960658
218614,-16.59224,39.44529,Moma,0.00160737,0.131643603
218615,-13.90351,37.59781,Nipepe,0.06661008,5.455365552
218640,-14.74685,38.14992,Ribaue,0.05200138,4.258913022
219887,-16.61048,38.63904,Pebane,0.00365502,0.299346138
219888,-21.43472,35.02166,Inhassoro,0.06793399,5.563793781
219889,-17.73031,35.65792,Mopeia,0.00078778,0.064519182
219911,-16.91256,35.34454,Morrumbala,0.01372824,1.124342856
219912,-14.66655,38.5217,Ribaue,0.00187091,0.153227529
219913,-17.26292,35.7792,Morrumbala,0.09088713,7.443655947
221160,-21.46892,33.66307,Mabote,0.00222828,0.182496132
221161,-15.2785,37.77531,Alto_Molocue,0.10154331,8.316397089
221162,-13.85836,40.39267,Memba,0.00348185,0.285163515
221183,-17.43439,35.77621,Morrumbala,0.05452059,4.465236321
221184,-23.72771,35.11188,Homoine,0.00988272,0.809394768
221185,-18.83632,33.26974,Manica,0.02768245,2.267192655
221186,-19.74495,34.88431,Dondo,0.03341295,2.736520605
222433,-24.06385,35.20984,Jangamo,0.92875826,76.06530149
222434,-19.91811,34.58428,Buzi,0.00561041,0.459492579
222435,-14.98196,36.01094,Mecanhelas,0.03239356,2.653032564
222436,-17.31134,35.44008,Morrumbala,0.08505149,6.965717031
222454,-12.4592,35.06894,Lago,0.00174215,0.142682085
222455,-15.51447,40.03962,Mongincual,0.10946483,8.965169577
222456,-17.6586,35.68749,Morrumbala,0.01717141,1.406338479
222457,-16.74655,35.66622,Morrumbala,0.00667385,0.546588315
222458,-15.53768,37.3263,Alto_Molocue,0.00220012,0.180189828
222459,-20.6261,34.42052,Machanga,0.00189613,0.155293047
223706,-15.05262,37.79521,Ribaue,0.10341656,8.469816264
223707,-14.40484,38.99536,Mecuburi,0.00528404,0.432762876
