id,lat,lon,country,Crop,State,Fraction,harv_area,curr_yield,max_yield,gw_depth,HubName,sw_dist,sw_depth,elevation,awsc,sw_suit_idx,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,srad_1,srad_2,srad_3,srad_4,srad_5,srad_6,srad_7,srad_8,srad_9,srad_10,srad_11,srad_12,tavg_1,tavg_2,tavg_3,tavg_4,tavg_5,tavg_6,tavg_7,tavg_8,tavg_9,tavg_10,tavg_11,tavg_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12,wind_1,wind_2,wind_3,wind_4,wind_5,wind_6,wind_7,wind_8,wind_9,wind_10,wind_11,wind_12
1,-17.57455,34.61671,moz,maize,Maringue,0.00551436,0.451626084,4500,6000,5.469026415,8152,20583.27479,140,266.4111977,89.33536531,9999,192.4948,164.7201192,124.2741192,59.0046384,30.6666808,18.446,12,9,9,22,80.2798808,168.7201192,19324.01428,18846.84219,18045.7011,16349.62756,13931.93245,12532.48311,12994.03852,15723.9508,18108.72588,20510.7256,20100.25101,19228.50743,26.92253162,26.62253239,26.02253201,25.07258836,22.82253124,20.97793184,20.6779326,22.29999924,25.25051999,27.79999924,27.75051999,27.35051943,33.79512017,33.49512007,32.89512055,31.96713136,29.69512031,27.82253124,27.82798742,29.42253162,32.40000153,34.9725885,34.9225331,34.55051923,20.02798819,19.75539992,19.15540059,18.20000076,15.95539983,14.05540021,13.50592002,15.10000038,18.07793222,20.65052057,20.62253239,20.25051999,1.399999976,1.299999952,1.5,1.177468122,1.100000024,1.277468054,1.277468054,1.549480012,1.655400037,2.200000048,2.126371917,1.600000024
2,-16.90842,38.46946,moz,maize,Pebane,0.03045163,2.493988497,4500,6000,14.82759911,7313,1690.703212,17,37.81395237,89.4625396,1,234.5910861,192.0806861,222.7558861,149.5117722,79.3504,63.42971392,58.91588608,30.8352,12,21,56.08068608,159.4262861,19682.26857,19137.37759,18696.61462,16552.61736,15013.02788,13136.54516,13339.83494,16378.6599,19864.53668,22206.53326,21509.6498,19958.83748,27.50841142,27.50841142,26.79999924,25.90841104,24,22.20000076,21.70000076,22.80841066,24.30841066,26.65737199,27.60000038,27.80841066,33.00841126,32.96578331,32.25737128,31.40841104,29.45737123,27.65737199,27.40841104,28.60841181,30.05737161,32.40841279,33.30841082,33.55737052,22.04930297,22.04930297,21.29999924,20.40841104,18.5,16.70000076,15.90841104,17.10000038,18.55737161,20.89999962,21.80841066,22.05737161,1.899999976,2,1.799999952,1.5,1.799999952,1.899999976,1.90034276,1.940891378,2.5,2.700000048,2.299999952,2.099999905
3,-16.34691,36.87037,moz,maize,Lugela,0.00046494,0.038078586,4500,6000,11.42996519,6032,22251.44846,360,322.5229809,89.41163877,9999,294.0556,286.1596165,267.1596165,132.9372165,53.8528,46.76678352,41.04841648,25.04841648,21,39,135.1112,261.1112,18529.00893,18588.15249,17223.56589,15589.08877,14086.07197,11967.37344,12681.72563,15837.9068,18602.5839,21435.21118,20607.56784,18616.05574,26.3944396,26.1951591,25.29443932,24.5,22.59444036,20.69444074,20.59444036,21.79443932,23.79443932,26.3944396,26.59444036,26.20736056,32.80735959,32.69444064,31.78959766,30.99443998,28.99515833,27.10736041,27.8944396,29.09515872,31.09444036,33.69444064,33.89515977,33.59443856,19.89515795,19.70000076,18.79999924,18.09444036,16.10000038,14.19999981,13.19515819,14.40735969,16.40735965,19.00736003,19.20736056,18.89515795,1.200000048,1.100000024,1.117043324,1.005560001,1.100000024,0.899999976,0.917761628,1.105560025,1.504123297,1.700000048,1.517761652,1.200000048
4,-19.53957,34.97517,moz,maize,Dondo,0.00228344,0.187013736,4500,6000,0.851053068,9457,15524.5374,25,26.05794014,89.3426279,9999,223.0306653,254.7516,233.1292674,114.5581306,74.2956,43.5204,37,32,23,41.63953264,105,200.1292674,20844.51967,19972.93818,18782.59649,16839.21044,14158.78993,12252.9464,12830.7087,15583.30966,18387.9468,20403.81089,20674.85896,20410.12993,27.5,27.5,26.79999924,25.5870736,23.5,21.5,20.89999962,21.61191369,23.39999962,25.10000038,26.29999924,27.20000076,33.38707449,33.40000153,32.68707373,31.48707321,29.39999962,27.39999962,26.68707398,27.39999962,29.17516067,30.87515952,32.08707194,32.98707346,21.60000038,21.60000038,20.89999962,19.66395389,17.60000038,15.60000038,15.16395328,15.89999962,17.62484048,19.36395275,20.52484009,21.46088659,2.473813497,2.24968006,2.05203995,1.696933476,1.924839982,1.700000048,1.799999952,2.051026479,2.724840024,2.900000095,3.012926724,2.400000095
5,-21.72251,33.17195,moz,maize,Mabote,0.00056691,0.046429929,4500,6000,4.262271791,10589,13814.33723,126,141.0128805,89.27882615,9999,121.1952,124.7988,66.7988,29.2012,14.0672,10,3,4,6,29.5976,76.8116784,125.4362392,21137.48696,20451.15016,18960.67293,16343.2936,14589.5084,12672.99784,13308.5252,15405.524,18791.88707,20388.76555,21010.57981,20721.61478,27.4174236,26.9201197,26.22012046,24.89999962,21.79999924,19.39999962,18.89999962,21,24.10000038,25.88929566,27.28929548,27.48929604,35.38929736,34.92012122,34.1892966,32.88660122,29.76917579,27.39999962,25.28929548,27.39999962,30.39999962,32.20000076,33.59999847,33.81742356,19.4201197,19.02012008,18.28929548,16.9201197,13.80269626,11.43082366,12.5,14.62012027,17.70000076,19.5,20.89999962,21.10000038,1.700000048,1.502696081,1.397303896,1.120120029,1.089296101,1,1.100000024,1.399999976,1.810703875,1.989296077,1.81883213,1.593879998
6,-17.33706,35.36441,moz,maize,Morrumbala,0.00078408,0.064216152,4500,6000,5.669808419,7874,3746.45454,30,58.88101331,89.36029248,1,178.3348,148.1885018,123.2413018,48.1236,20.9472,19.26989824,14.78290176,9,7.21709824,23,78.01210176,156,19154.9772,18958.1504,17866.07935,16218.7971,13578.93136,12052.29444,12615.44224,15587.1205,17932.01704,20522.9608,20053.2068,18918.6424,27.77707959,27.67708068,26.87707953,25.89999962,23.77707959,21.29999924,21.17708068,22.77707959,25.68658106,28.08658068,28.47707991,28.29471932,34.377081,34.27707959,33.47708035,32.5717989,30.37707953,27.97179989,27.98235993,29.65944053,32.56772914,34.96366071,35.35823111,35.17708024,21.17829086,21.07708029,20.20407052,19.29999924,17.10407022,14.69999981,14.30000019,15.89999962,18.80828955,21.20422072,21.60000038,21.49065014,1.299999952,1.200000048,1.122920029,1.200000048,1.100000024,1.195930223,1.3987898,1.494719999,1.774220329,1.922919982,2.200000048,1.577080018
7,-15.11306,30.53464,moz,maize,Zumbu,0.00066013,0.054064647,4500,6000,4.875796551,4231,10831.19272,458,561.8886035,89.20782345,9999,220.044137,188.0210739,123.9980109,26.40841088,4.61266304,1.67986304,1,0,1,9.0672,70,185.700937,17406.79177,17969.67315,19007.03541,18351.64694,17160.6002,15595.16081,16159.18743,19007.57913,21574.09818,22608.31143,20389.98608,18490.06692,25.29558561,25.2911719,24.95915876,23.79558561,21.29789192,19.36357209,19.39558591,21.42990604,24.69558705,28.9978926,27.69558705,26.22990653,32.78675818,32.69117334,32.3911741,31.25243871,28.7911719,26.7911719,25.79558561,27.88445225,31.09117296,35.397894,34.09117122,32.625492,17.86357209,17.80230555,17.50230631,16.30230555,13.89999962,11.90230593,13,15.02990642,18.29789192,22.60230669,21.29558561,19.82990574,1.802306257,1.697693743,2.206720041,2.363572651,1.899999976,1.997693695,2.506719994,2.799999952,3.277467458,3.393280086,2.806719962,2.261266293
8,-18.49594,34.68831,moz,maize,Cheringoma,0.00040253,0.032967207,4500,6000,1.691916823,8855,8625.031522,40,57.13786851,89.33562138,9999,193.9015558,196.9884442,149.11,58.00124416,29.9028,27,13,13,12,25,84,174.8912442,19991.93629,19606.6721,18578.17932,16751.74556,14246.76,12402.87903,13159.6112,16006.388,18258.52808,20446.38032,20342.29469,19763.84116,27.89999962,27.79999924,27,26,23.60000038,21.60000038,21.20012518,22.79027939,24.91087524,27.60000038,28.09987596,27.89999962,35.20128074,35.19040496,34.30115485,33.30115485,30.90127962,28.90115521,28.50128,30.00115559,32.20128074,34.89040572,35.30127927,35.20115633,20.50959562,20.49884441,19.60000038,18.60000038,16.29884367,14.20959543,13.99872,15.49872,17.69884517,20.30831488,20.80831488,20.69872076,1.309844371,1.398844392,1.289124379,1.299999952,1.100000024,1.100000024,1.299999952,1.5,1.699875632,2.200000048,2.110751088,1.5
9,-17.96796,35.32343,moz,maize,Cheringoma,0.0038183,0.31271877,4500,6000,3.776103404,8359,7642.008722,27,74.72672468,89.3575344,9999,195.3116,197.3448,161.7626397,80.47592064,42.10743968,39.58216032,24.20416032,12,8,24,70,159.1074397,19620.12977,19172.07024,18017.65873,16166.17894,13372.17369,11961.49296,12357.72896,15288.03176,17919.654,20379.63096,20290.17416,19454.50936,27.60000038,27.44510376,26.60000038,25.66884064,23.70000076,21.76883971,21.3688395,22.77958352,24.52373612,27.32373536,27.96883988,27.70000076,34.36884081,34.16884005,33.36884081,32.37958503,30.46883988,28.5,28.5,29.92373574,31.70000076,34.5,35.09999847,34.86884081,20.89999962,20.70000076,19.89999962,18.89999962,17,15,14.17958389,15.62373628,17.39999962,20.17958465,20.77958352,20.56884026,1.489256029,1.399999976,1.200000048,0.865519988,1.100000024,1.096680023,1.079583987,1.299999952,1.5,2.176263982,2.037679927,1.5
10,-24.03586,34.82774,moz,maize,Panda,0.07429534,6.084788346,4500,6000,34.25123674,12209,5392.765761,73,119.2676826,89.3276717,9999,132.632,129.4688922,98.632,54.86249216,53.99190784,32,27.16310784,22,22,37,74.8032,111.8032,21608.58098,20217.79065,18164.53458,15688.1736,13494.53932,11571.70889,12563.97938,14822.5874,17955.7344,19842.11988,20891.69913,21338.81649,26.5230493,26.45311061,25.61968046,24.21968046,22.20000076,20.21968046,19.81967931,20.89999962,22.51968008,24.21968046,25.20336993,26.11968046,33.33935939,33.24273008,32.42305039,31.0230493,28.95311061,27.0230493,26.91967969,27.93679976,29.55311099,31.25648034,32.23680033,33.15647902,19.71968046,19.70000076,18.79999924,17.39999962,15.39663042,13.39999962,12.78288013,13.80000019,15.41631046,17.11968046,18.10000038,19.01968008,1.91711998,1.682880044,1.5,1.566569232,1.399999976,1.299999952,1.696630831,1.830061527,2.280319971,2.119679933,2.096630692,1.976950779
