country,admin_1,lon,lat,total_area,harv_area,curr_yield,max_yield,gw_depth,sw_dist,sw_depth,sw_suit_idx,elevation,awsc,wind_1,wind_2,wind_3,wind_4,wind_5,wind_6,wind_7,wind_8,wind_9,wind_10,wind_11,wind_12,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,srad_1,srad_2,srad_3,srad_4,srad_5,srad_6,srad_7,srad_8,srad_9,srad_10,srad_11,srad_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tavg_1,tavg_2,tavg_3,tavg_4,tavg_5,tavg_6,tavg_7,tavg_8,tavg_9,tavg_10,tavg_11,tavg_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12
moz,Zambezia,36.70833664,-15.04167001,323,200.1,4500,6000,37,92875,97,1,377,160,3.5,3.8,4.4,5,5.1,4.6,4.5,4.6,3.8,3.9,3.7,3.7,3.34167,3.34167,4.19024,2.24167,1.37939,0.051361,0.080986,0.5275,2.67158,4.60439,3.06553,2.78417,14487,17459,22210,25812,27880,28630,28157,26578,22669,18874,15089,13273,17.879999,20.905399,25.049101,30.355499,35.215801,40.435902,42.7542,41.881001,37.540298,30.506901,22.8943,18.006599,10.3477,13.4743,17.494699,22.8078,27.8305,32.924099,34.518902,34.889301,30.610701,23.687401,16.102699,11.419,3.53074,6.33418,10.0161,14.8924,19.814301,24.798201,28.101999,27.3575,23.091101,16.896299,9.71018,5.52086
moz,Zambezia,36.79166998,-15.04167001,124,22.4,4500,6000,34,51613,158,1,377,160,3.5,3.8,4.4,5,5.1,4.6,4.5,4.6,3.8,3.9,3.7,3.7,3.34167,3.34167,4.19024,2.24167,1.37939,0.051361,0.080986,0.5275,2.67158,4.60439,3.06553,2.78417,14487,17459,22210,25812,27880,28630,28157,26578,22669,18874,15089,13273,17.879999,20.905399,25.049101,30.355499,35.215801,40.435902,42.7542,41.881001,37.540298,30.506901,22.8943,18.006599,10.3477,13.4743,17.494699,22.8078,27.8305,32.924099,34.518902,34.889301,30.610701,23.687401,16.102699,11.419,3.53074,6.33418,10.0161,14.8924,19.814301,24.798201,28.101999,27.3575,23.091101,16.896299,9.71018,5.52086
moz,Zambezia,36.87500331,-15.04167001,195,34.4,4500,6000,29,37562,227,1,374,160,3.5,3.6,4.4,5,5.1,4.8,4.6,4.5,3.6,3.9,3.5,3.5,3.30821,3.30821,4.20496,2.18617,1.37033,0.05,0.068208,0.531708,2.68163,4.68425,3.03679,2.75575,14489,17446,22213,25816,27887,28668,28227,26548,22716,18877,15065,13247,17.881399,20.9112,25.0501,30.4067,35.315201,40.484901,42.8605,41.9851,37.687,30.554501,22.9429,18.1082,10.4095,13.4923,17.5096,22.871401,27.8909,32.982101,34.586498,34.957199,30.671301,23.648701,16.114401,11.43,3.59834,6.36125,10.039,14.9651,19.886801,24.865999,28.0844,27.346201,23.111,16.8216,9.63013,5.43547
moz,Zambezia,36.95833664,-15.04167001,291,28.2,4500,6000,43,33625,90,99999,372,160,3.5,3.6,4.4,5,5.1,4.8,4.6,4.5,3.6,3.9,3.5,3.5,3.30821,3.30821,4.20496,2.18617,1.37033,0.05,0.068208,0.531708,2.68163,4.68425,3.03679,2.75575,14489,17446,22213,25816,27887,28668,28227,26548,22716,18877,15065,13247,17.881399,20.9112,25.0501,30.4067,35.315201,40.484901,42.8605,41.9851,37.687,30.554501,22.9429,18.1082,10.4095,13.4923,17.5096,22.871401,27.8909,32.982101,34.586498,34.957199,30.671301,23.648701,16.114401,11.43,3.59834,6.36125,10.039,14.9651,19.886801,24.865999,28.0844,27.346201,23.111,16.8216,9.63013,5.43547
moz,Zambezia,37.12500331,-15.04167001,402,88.7,4500,6000,17,31068,147,1,377,160,3.5,3.8,4.4,5,5.1,4.8,4.5,4.6,3.8,3.9,3.7,3.7,3.32371,3.32371,4.19346,2.23817,1.37233,0.05,0.083708,0.523208,2.65013,4.59725,2.55129,2.78275,14490,17462,22212,25813,27856,28660,28156,26579,22693,18876,15093,13262,17.888,20.915701,25.1091,30.3664,35.226398,40.4464,42.7644,41.890701,37.6003,30.5173,22.903601,18.064699,10.3567,13.4853,17.5051,22.8186,27.841499,32.934101,34.5294,34.900398,30.621201,23.6985,16.112499,11.4282,3.5894,6.34432,10.0761,14.9526,19.824699,24.807501,28.113001,27.369101,23.1003,16.9062,9.71928,5.52977
moz,Zambezia,37.20833664,-15.04167001,995,203.1,4500,6000,43,86005,76,99999,375,160,3.5,3.6,4.4,5,5.1,4.8,4.6,4.5,3.6,3.9,3.5,3.5,3.30821,3.30821,4.20496,2.18617,1.37033,0.05,0.068208,0.531708,2.68163,4.68425,3.03679,2.75575,14489,17446,22213,25816,27887,28668,28227,26548,22716,18877,15065,13247,17.881399,20.9112,25.0501,30.4067,35.315201,40.484901,42.8605,41.9851,37.687,30.554501,22.9429,18.1082,10.4095,13.4923,17.5096,22.871401,27.8909,32.982101,34.586498,34.957199,30.671301,23.648701,16.114401,11.43,3.59834,6.36125,10.039,14.9651,19.886801,24.865999,28.0844,27.346201,23.111,16.8216,9.63013,5.43547
moz,Zambezia,36.70833664,-15.12500335,238,119.4,4500,6000,31,93527,218,1,378,160,3.5,3.8,4.4,5,5.1,4.6,4.6,4.6,3.8,3.9,3.7,3.7,3.325,3.325,4.19012,2.245,1.3785,0.05425,0.082875,0.5225,2.65525,4.5735,2.55675,2.7925,14491,17462,22212,25813,27853,28628,28190,26578,22693,18876,15094,13248,17.893101,20.920601,25.114901,30.372299,35.2327,40.4524,42.7682,41.895401,37.557301,30.5242,22.9102,18.019501,10.3574,13.4864,17.507099,22.8216,27.8454,32.938801,34.531799,34.902401,30.6259,23.702101,16.1147,11.4291,3.53619,6.29221,10.0244,14.9027,19.8255,24.8095,28.111401,27.368,23.1527,16.9566,9.71707,5.52771
moz,Zambezia,36.79166998,-15.12500335,724,317.5,4500,6000,29,95876,126,99999,374,160,3.5,3.6,4.4,5.2,5.1,5,4.6,4.6,3.6,3.9,3.5,3.5,3.30562,3.30562,4.20687,2.1775,1.37,0.05,0.065625,0.533125,2.68688,4.69875,3.03438,2.75125,14489,17446,22214,25799,27889,28699,28193,26583,22716,18878,15064,13247,17.880199,20.9104,25.0986,30.4051,35.313301,40.533001,42.909801,42.034199,37.684898,30.602301,22.941099,18.157101,10.3599,13.4935,17.510401,22.871799,27.8908,32.9818,34.5877,34.958401,30.671301,23.648701,16.1147,11.4303,3.59983,6.31408,10.0411,14.9671,19.888901,24.867399,28.0879,27.3508,23.112801,16.8242,9.63193,5.43642
moz,Zambezia,36.87500331,-15.12500335,916,236.3,4500,6000,16,28024,151,99999,374,160,3.5,3.6,4.4,5,5.1,4.8,4.6,4.5,3.6,3.9,3.5,3.5,3.30821,3.30821,4.20496,2.18617,1.37033,0.05,0.068208,0.531708,2.68163,4.68425,3.03679,2.75575,14489,17446,22213,25816,27887,28668,28227,26548,22716,18877,15065,13247,17.881399,20.9112,25.0501,30.4067,35.315201,40.484901,42.8605,41.9851,37.687,30.554501,22.9429,18.1082,10.4095,13.4923,17.5096,22.871401,27.8909,32.982101,34.586498,34.957199,30.671301,23.648701,16.114401,11.43,3.59834,6.36125,10.039,14.9651,19.886801,24.865999,28.0844,27.346201,23.111,16.8216,9.63013,5.43547
moz,Zambezia,36.95833664,-15.12500335,917,113.7,4500,6000,6,43524,300,99999,375,160,3.5,3.8,4.4,5,5.1,4.8,4.5,4.6,3.8,3.9,3.7,3.7,3.32371,3.32371,4.19346,2.23817,1.37233,0.05,0.083708,0.523208,2.65013,4.59725,2.55129,2.78275,14490,17462,22212,25813,27856,28660,28156,26579,22693,18876,15093,13262,17.888,20.915701,25.1091,30.3664,35.226398,40.4464,42.7644,41.890701,37.6003,30.5173,22.903601,18.064699,10.3567,13.4853,17.5051,22.8186,27.841499,32.934101,34.5294,34.900398,30.621201,23.6985,16.112499,11.4282,3.5894,6.34432,10.0761,14.9526,19.824699,24.807501,28.113001,27.369101,23.1003,16.9062,9.71928,5.52977
