Pixel,State,lon,lat,Crop,Fraction,MaizeArea
0,Guro,33.75358,-16.41358,Maize,7e-08,7.000000000000001e-06
1,Guro,33.76291,-16.41381,Maize,0.12146135,12.146135
2,Guro,33.772240000000004,-16.41404,Maize,0.05111816,5.111816
3,Guro,33.78156,-16.414279999999998,Maize,1.25356932,125.356932
4,Guro,33.790890000000005,-16.41451,Maize,1.39418457,139.418457
5,Guro,33.78132,-16.42328,Maize,0.80064015,80.064015
6,Guro,33.79065,-16.42351,Maize,0.60945607,60.945607
7,Guro,33.809309999999996,-16.42397,Maize,0.15962801,15.962800999999999
8,Guro,33.80907,-16.43298,Maize,0.7586107,75.86107
9,Guro,33.81839,-16.43321,Maize,1.5997708,159.97708
10,Guro,33.56633,-16.43582,Maize,1.51989237,151.989237
11,Guro,33.57565,-16.43606,Maize,0.06253135,6.253135
12,Guro,33.58498,-16.4363,Maize,0.00236493,0.23649299999999998
13,Guro,33.5943,-16.43655,Maize,0.01275963,1.275963
14,Guro,33.603629999999995,-16.43679,Maize,2.435e-05,0.002435
15,Guro,33.631609999999995,-16.43751,Maize,0.13081933,13.081933000000001
16,Guro,33.65959,-16.43822,Maize,6.773e-05,0.006773
17,Guro,33.66891,-16.43846,Maize,0.00923294,0.9232940000000001
18,Guro,33.67824,-16.4387,Maize,0.0583495,5.83495
19,Guro,33.79017,-16.44152,Maize,0.92725934,92.725934
20,Guro,33.54743,-16.444329999999997,Maize,0.32276978,32.276978
21,Guro,33.5754,-16.44506,Maize,0.52073005,52.07300500000001
22,Guro,33.61271,-16.44603,Maize,0.01241077,1.241077
23,Guro,33.66867,-16.44746,Maize,0.00052476,0.052475999999999995
24,Guro,33.67799,-16.4477,Maize,0.0004532,0.04532
25,Guro,33.82724,-16.451439999999998,Maize,1.5997708,159.97708
26,Guro,33.528529999999996,-16.45285,Maize,0.04696366,4.696365999999999
27,Guro,33.53785,-16.45309,Maize,0.08074048,8.074048000000001
28,Guro,33.54718,-16.453329999999998,Maize,0.73520995,73.520995
29,Guro,33.59381,-16.454539999999998,Maize,1.28370945,128.370945
30,Guro,33.65909,-16.456220000000002,Maize,0.00776029,0.7760290000000001
31,Guro,33.668420000000005,-16.45646,Maize,0.38344017,38.344017
32,Guro,33.827009999999994,-16.46045,Maize,1.35722193,135.722193
33,Guro,33.83634,-16.46068,Maize,1.57721088,157.721088
34,Guro,33.52827,-16.46184,Maize,0.7336168,73.36167999999999
35,Guro,33.54692,-16.462329999999998,Maize,0.94137428,94.137428
36,Guro,33.55625,-16.46258,Maize,1.45000187,145.00018699999998
37,Guro,33.5749,-16.463060000000002,Maize,0.4763457,47.63457
38,Guro,33.61221,-16.464029999999998,Maize,1.56569802,156.56980199999998
39,Guro,33.658840000000005,-16.465220000000002,Maize,1.16228708,116.228708
