uid,BASICA_AREA,Zone,total_volume_prod,geometry
1.0,0.114,36.0,600,POINT (31.14627889300628 -15.68920730912962)
5.0,0.51480000000000004,36.0,250,POINT (31.12201658457758 -15.69534387054734)
7.0,0.27279999999999999,36.0,180,POINT (31.11953224603774 -15.69567493193599)
9.0,0.19239999999999999,36.0,100,POINT (31.12209575463122 -15.69484754368368)
11.0,0.216,36.0,60,POINT (31.09769192457709 -15.69701306941368)
13.0,0.46760000000000002,36.0,1250,POINT (31.06985524468447 -15.69321773040871)
16.0,0.48,36.0,875,POINT (31.06812627690346 -15.69257895452355)
19.0,0.3614,36.0,500,POINT (31.14594888108827 -15.69166246660536)
23.0,0.81940000000000002,36.0,450,POINT (31.12809115784417 -15.69309167062637)
24.0,0.18310000000000001,36.0,175,POINT (31.12073201409877 -15.69606478422864)
27.0,2.97,36.0,3510,POINT (31.15796625209779 -14.71964422718022)
29.0,0.4,36.0,1800,POINT (31.15910317550203 -14.71915621207683)
31.0,0.29399999999999998,36.0,900,POINT (31.15793065805567 -14.72056575400793)
34.0,1.6739999999999999,36.0,800,POINT (31.15808870842534 -14.72275405021891)
37.0,1.8,36.0,1250,POINT (31.15788274280047 -14.72184867675712)
40.0,2.17,36.0,1250,POINT (31.1587132755215 -14.72135822749612)
43.0,7.4,36.0,13500,POINT (31.15962145911678 -14.71935915285365)
45.0,0.62,36.0,1050,POINT (31.15972434809948 -14.72148374997982)
49.0,0.80359999999999998,36.0,1500,POINT (31.15739883836294 -14.72086879319639)
51.0,1.2949999999999999,36.0,2250,POINT (31.13992347663085 -14.71321008076003)
53.0,1.8560000000000001,36.0,1500,POINT (31.13999149066296 -14.71504519384102)
55.0,0.36,36.0,750,POINT (31.14455594629553 -15.53029214461966)
58.0,0.64,36.0,100,POINT (31.14449337311139 -15.52999340686426)
59.0,7.6799999999999993E-2,36.0,120,POINT (31.14484527480526 -15.53024939391189)
60.0,0.48,36.0,800,POINT (31.14538640862984 -15.53019068607439)
