id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"31723,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0826461430,-14.5789297580"
"32001,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0360367800,-14.6239442340"
"32002,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0824587540,-14.6241316320"
"32003,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1288813730,-14.6243097850"
"32004,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1753046030,-14.6244786930"
"32005,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2217284130,-14.6246383560"
"32006,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2681527700,-14.6247887730"
"32007,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3145776400,-14.6249299430"
"32008,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3610029920,-14.6250618660"
"32009,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4074287920,-14.6251845420"
"32010,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4538550090,-14.6252979710"
"32011,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.5002816090,-14.6254021510"
"32279,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.9894084300,-14.6689480500"
"32280,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0358392370,-14.6691453260"
"32281,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0822707210,-14.6693333280"
"32282,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1287028500,-14.6695120550"
"32283,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1751355920,-14.6696815080"
"32284,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2215689130,-14.6698416860"
"32285,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2680027820,-14.6699925880"
"32286,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3144371650,-14.6701342140"
"32287,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3608720290,-14.6702665620"
"32288,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4073073430,-14.6703896340"
"32289,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4537430740,-14.6705034280"
