"CONTINENT_CODE","CONTINENT_NAME","COUNTRY_CODE","COUNTRY_NAME","AREA_CODE","AREA_NAME","ADMIN_LEVEL","ITEM_CODE","ITEM_NAME","YEAR","AEREA_HARVESTED","YIELD","PRODUCTION"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2000","693.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2002","1700.0","","11940.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2005","1500.0","","3160.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2006","1400.0","","3060.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2007","2500.0","","7910.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","2008","1200.0","","6450.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","122","Sweet Potatoes","Most recent","1200.0","","6450.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","1999","120741.0","2.54","307049.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2000","86379.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2002","94700.0","","269670.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2005","154800.0","","434400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2006","119800.0","","300940.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2007","141900.0","","445610.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","2008","","","313660.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","125","Cassava","Most recent","","","313660.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","137","Yams","2000","149.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","137","Yams","Most recent","149.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","156","Sugar Cane","1999","0.0","0.0","0.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","156","Sugar Cane","2000","396.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","156","Sugar Cane","Most recent","396.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","176","Beans, Dry","1999","35878.0","0.47","16748.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","176","Beans, Dry","Most recent","35878.0","0.47","16748.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","187","Peas, Dry","2000","57.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","187","Peas, Dry","Most recent","57.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","2002","10200.0","","8100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","2003","","","8800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","2005","26300.0","","8400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","2006","26600.0","","10200.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","2007","39400.0","","12100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","2008","36000.0","","9600.0"
"AFR","All African countries","MOZ","Mozambique","MOZ001","Cabo Delgado","1","195","Cow Peas, Dry","Most recent","36000.0","","9600.0"
