 Pixel        State             lon          lat     Crop    Fraction
0           Guro               33.75358  -16.41358  Maize    0.00000007
1           Guro               33.76291  -16.41381  Maize    0.12146135
2           Guro               33.77224  -16.41404  Maize    0.05111816
3           Guro               33.78156  -16.41428  Maize    1.25356932
4           Guro               33.79089  -16.41451  Maize    1.39418457
5           Guro               33.78132  -16.42328  Maize    0.80064015
6           Guro               33.79065  -16.42351  Maize    0.60945607
7           Guro               33.80931  -16.42397  Maize    0.15962801
8           Guro               33.80907  -16.43298  Maize    0.75861070
9           Guro               33.81839  -16.43321  Maize    1.59977080
10          Guro               33.56633  -16.43582  Maize    1.51989237
11          Guro               33.57565  -16.43606  Maize    0.06253135
12          Guro               33.58498  -16.43630  Maize    0.00236493
13          Guro               33.59430  -16.43655  Maize    0.01275963
14          Guro               33.60363  -16.43679  Maize    0.00002435
15          Guro               33.63161  -16.43751  Maize    0.13081933
16          Guro               33.65959  -16.43822  Maize    0.00006773
17          Guro               33.66891  -16.43846  Maize    0.00923294
18          Guro               33.67824  -16.43870  Maize    0.05834950
19          Guro               33.79017  -16.44152  Maize    0.92725934
20          Guro               33.54743  -16.44433  Maize    0.32276978
21          Guro               33.57540  -16.44506  Maize    0.52073005
22          Guro               33.61271  -16.44603  Maize    0.01241077
23          Guro               33.66867  -16.44746  Maize    0.00052476
24          Guro               33.67799  -16.44770  Maize    0.00045320
25          Guro               33.82724  -16.45144  Maize    1.59977080
26          Guro               33.52853  -16.45285  Maize    0.04696366
27          Guro               33.53785  -16.45309  Maize    0.08074048
28          Guro               33.54718  -16.45333  Maize    0.73520995
29          Guro               33.59381  -16.45454  Maize    1.28370945
30          Guro               33.65909  -16.45622  Maize    0.00776029
31          Guro               33.66842  -16.45646  Maize    0.38344017
32          Guro               33.82701  -16.46045  Maize    1.35722193
33          Guro               33.83634  -16.46068  Maize    1.57721088
34          Guro               33.52827  -16.46184  Maize    0.73361680
35          Guro               33.54692  -16.46233  Maize    0.94137428
36          Guro               33.55625  -16.46258  Maize    1.45000187
37          Guro               33.57490  -16.46306  Maize    0.47634570
38          Guro               33.61221  -16.46403  Maize    1.56569802
39          Guro               33.65884  -16.46522  Maize    1.16228708
40          Guro               33.70548  -16.46641  Maize    0.00008743
41          Guro               33.71481  -16.46665  Maize    0.11352206
42          Guro               33.72414  -16.46688  Maize    0.77285127
43          Guro               33.81744  -16.46922  Maize    1.53803528
44          Guro               33.82677  -16.46945  Maize    0.37207859
45          Guro               33.83610  -16.46968  Maize    1.59379099
46          Guro               33.54667  -16.47133  Maize    1.08152279
47          Guro               33.60263  -16.47278  Maize    0.05000297
48          Guro               33.62129  -16.47327  Maize    0.57969734
49          Guro               33.71457  -16.47565  Maize    0.31647186
50          Guro               33.81720  -16.47822  Maize    1.43989552
51          Guro               33.84519  -16.47891  Maize    0.79202664
52          Guro               33.53709  -16.48009  Maize    0.39550430
53          Guro               33.63037  -16.48251  Maize    0.07791748
54          Guro               33.70499  -16.48441  Maize    0.01037590
55          Guro               33.71432  -16.48465  Maize    0.02826905
56          Guro               33.76097  -16.48583  Maize    0.07104582
57          Guro               33.77963  -16.48629  Maize    1.27835710
58          Guro               33.54617  -16.48933  Maize    0.82947242
59          Guro               33.55549  -16.48957  Maize    0.79278709
60          Guro               33.59280  -16.49054  Maize    0.79735518
61          Guro               33.53659  -16.49808  Maize    0.95891652
62          Guro               33.54591  -16.49833  Maize    1.30807994
63          Guro               33.73249  -16.50313  Maize    0.74881703
64          Guro               33.54566  -16.50733  Maize    0.80692305
65          Guro               33.74158  -16.51236  Maize    1.30172301
66          Guro               33.50810  -16.51534  Maize    0.47414471
67          Guro               33.51742  -16.51559  Maize    0.14228373
68          Guro               33.89066  -16.52508  Maize    0.34693539
69          Guro               33.50784  -16.52434  Maize    0.05353722
70          Guro               33.52650  -16.52483  Maize    0.95547581
71          Guro               33.54515  -16.52532  Maize    1.47298509
72          Guro               33.66644  -16.52847  Maize    1.58060516
73          Guro               33.74109  -16.53037  Maize    1.38923553
74          Guro               33.75042  -16.53060  Maize    1.12300495
75          Guro               33.76909  -16.53107  Maize    1.47510552
76          Guro               33.66619  -16.53747  Maize    1.45682118
77          Guro               33.47934  -16.54160  Maize    0.05244666
78          Guro               33.50733  -16.54234  Maize    1.52569784
79          Guro               33.66595  -16.54647  Maize    1.59931862
80          Guro               33.47909  -16.55060  Maize    0.82714761
81          Guro               33.60971  -16.55402  Maize    1.59899957
82          Guro               33.77769  -16.55831  Maize    1.42434847
83          Guro               33.78703  -16.55855  Maize    1.52893289
84          Guro               33.75878  -16.56684  Maize    0.58854454
85          Guro               33.80545  -16.56802  Maize    0.00356730
86          Guro               33.92682  -16.57102  Maize    1.42647603
87          Guro               33.93615  -16.57124  Maize    1.56930112
88          Guro               33.44126  -16.56760  Maize    1.59129625
89          Guro               33.45058  -16.56785  Maize    1.33767598
90          Guro               33.59962  -16.58078  Maize    1.59878144
91          Guro               33.93568  -16.58925  Maize    0.31235495
92          Guro               33.45007  -16.58584  Maize    0.28769291
93          Guro               33.45940  -16.58609  Maize    0.32976858
94          Guro               33.51538  -16.58758  Maize    1.55469884
95          Guro               33.68337  -16.59195  Maize    1.59753065
96          Guro               33.71137  -16.59267  Maize    1.58745860
97          Guro               33.83249  -16.60473  Maize    0.88994667
98          Guro               33.89786  -16.60635  Maize    0.59454140
99          Guro               33.91653  -16.60680  Maize    0.23188570
100         Guro               33.46821  -16.60433  Maize    0.48987591
101         Guro               33.75756  -16.61185  Maize    1.51267890
102         Guro               33.44929  -16.61283  Maize    0.00201316
103         Guro               33.50528  -16.61432  Maize    1.54404894
104         Guro               33.65462  -16.61823  Maize    1.52833785
105         Guro               33.78532  -16.62156  Maize    1.44498124
106         Guro               33.43970  -16.62158  Maize    0.03763418
107         Guro               33.44903  -16.62183  Maize    0.60829039
108         Guro               33.70105  -16.62843  Maize    1.53873313
109         Guro               33.74773  -16.62962  Maize    1.43102337
110         Guro               33.86912  -16.63266  Maize    0.00020935
111         Guro               33.87846  -16.63290  Maize    0.38900120
112         Guro               33.43944  -16.63058  Maize    0.78854004
113         Guro               33.72881  -16.63815  Maize    1.55636942
114         Guro               33.86888  -16.64167  Maize    0.00724599
115         Guro               33.43918  -16.63957  Maize    0.00001019
116         Guro               33.59786  -16.64378  Maize    1.59920015
117         Guro               33.56026  -16.65180  Maize    1.59887524
118         Guro               33.60694  -16.65302  Maize    1.59958510
119         Guro               33.82170  -16.65851  Maize    0.01651026
120         Guro               33.45733  -16.65807  Maize    0.00222209
121         Guro               33.47599  -16.65857  Maize    1.58589565
122         Guro               33.84014  -16.66798  Maize    0.15366815
123         Guro               33.47573  -16.66757  Maize    1.58166986
124         Guro               33.83990  -16.67698  Maize    0.08109824
125         Guro               33.46614  -16.67631  Maize    0.89019718
126         Guro               33.49415  -16.67706  Maize    1.44372707
127         Guro               33.60618  -16.68002  Maize    1.59897427
128         Guro               33.45655  -16.68506  Maize    1.10481575
129         Guro               33.63394  -16.68975  Maize    1.59904696
130         Guro               33.71799  -16.69192  Maize    1.59703677
131         Guro               33.57766  -16.69728  Maize    1.59601957
132         Guro               33.59608  -16.70677  Maize    1.58178089
133         Guro               33.66145  -16.70848  Maize    1.59866817
134         Guro               33.75461  -16.71988  Maize    1.56291098
135         Guro               33.79197  -16.72082  Maize    1.58506405
136         Guro               33.69831  -16.72744  Maize    1.55774181
137         Guro               33.68872  -16.73620  Maize    1.59926940
138         Guro               33.70741  -16.73668  Maize    1.59826739
139         Guro               33.79124  -16.74783  Maize    1.55513939
140         Guro               33.66929  -16.76272  Maize    1.59840246
141         Guro               33.67838  -16.77196  Maize    1.59867968
142         Guro               33.57536  -16.77828  Maize    1.59644638
143         Guro               33.58470  -16.77852  Maize    1.59935105
144         Guro               33.56576  -16.78703  Maize    1.59887449
145         Guro               33.57511  -16.78727  Maize    1.59964750
146         Guro               33.58419  -16.79652  Maize    1.59827996
147         Guro               33.61222  -16.79726  Maize    1.59773394
148         Guro               33.54631  -16.81353  Maize    1.59806317
149         Guro               33.60237  -16.81501  Maize    1.59955467
150         Guro               33.53671  -16.82228  Maize    0.43279723
151         Guro               33.54579  -16.83153  Maize    1.59853060
152         Guro               33.55513  -16.83177  Maize    1.59908251
153         Guro               33.56448  -16.83202  Maize    1.59776711
154         Guro               33.56422  -16.84102  Maize    1.57677261
155         Guro               33.52659  -16.84902  Maize    1.59924192
156         Guro               33.72285  -16.85418  Maize    0.54850329
157         Guro               33.55410  -16.86777  Maize    1.59798522
158         Guro               33.30102  -16.88788  Maize    0.00003162
159         Guro               33.36562  -16.91668  Maize    0.53664869
160         Guro               33.62734  -16.92374  Maize    1.58584300
161         Guro               33.77695  -16.92763  Maize    1.59921002
162         Guro               33.76735  -16.93639  Maize    1.59871108
163         Guro               33.78580  -16.94588  Maize    1.59481551
164         Guro               33.51437  -16.94775  Maize    1.59973321
165         Guro               33.61722  -16.95050  Maize    1.56058867
166         Guro               33.67307  -16.96097  Maize    1.59817755
167         Guro               33.60710  -16.97725  Maize    1.59948729
168         Guro               33.65386  -16.97848  Maize    1.59506568
169         Guro               33.26037  -16.99476  Maize    1.58623524
170         Guro               33.31564  -17.02332  Maize    1.59459026
171         Guro               33.39044  -17.02541  Maize    1.58983398
172         Guro               33.32471  -17.03258  Maize    1.57094240
173         Guro               33.33406  -17.03284  Maize    1.59883154
174         Guro               33.34341  -17.03310  Maize    1.59393561
175         Guro               33.62296  -17.07674  Maize    1.58346425
176         Guro               33.49145  -17.09121  Maize    1.59939300
177         Guro               33.32253  -17.10454  Maize    1.51412242
178         Guro               33.39736  -17.10663  Maize    0.40879762
179         Guro               33.42543  -17.10741  Maize    1.54514277
180         Guro               33.43479  -17.10766  Maize    1.55885966
181         Guro               33.33161  -17.11380  Maize    1.29348386
182         Guro               33.39709  -17.11562  Maize    0.60811855
183         Guro               33.24688  -17.12940  Maize    1.59564781
184         Guro               33.75144  -17.17019  Maize    0.00005898
185         Guro               33.27818  -17.32834  Maize    0.01595161
186         Guro               33.30516  -17.36512  Maize    0.00092679
187         Guro               33.39801  -17.39476  Maize    1.58823214
188         Guro               33.26573  -17.42700  Maize    1.42396496
189         Guro               33.19901  -17.46106  Maize    0.13322482
190         Ribaue             38.20326  -14.59745  Maize    0.01556914
191         Ribaue             38.30538  -14.59778  Maize    0.16103876
192         Ribaue             38.16605  -14.61541  Maize    0.06900440
193         Ribaue             38.24961  -14.61569  Maize    0.31721685
194         Ribaue             38.41674  -14.61617  Maize    0.03142774
195         Ribaue             38.44459  -14.61623  Maize    1.09843303
196         Ribaue             38.46316  -14.61628  Maize    0.47191019
197         Ribaue             38.37957  -14.62511  Maize    0.36349856
198         Ribaue             38.43528  -14.62525  Maize    0.92148493
199         Ribaue             38.45386  -14.62530  Maize    0.61161896
200         Ribaue             38.12885  -14.63335  Maize    0.01406494
201         Ribaue             38.12881  -14.64239  Maize    0.01461731
202         Ribaue             38.18452  -14.64259  Maize    1.66693531
203         Ribaue             38.10092  -14.65133  Maize    0.85382365
204         Ribaue             38.01731  -14.66003  Maize    0.08541081
205         Ribaue             38.17517  -14.66064  Maize    0.46909561
206         Ribaue             38.20300  -14.66978  Maize    0.39421096
207         Ribaue             38.22157  -14.66984  Maize    1.46591430
208         Ribaue             38.18439  -14.67875  Maize    0.47312082
209         Ribaue             38.25869  -14.67900  Maize    0.12124541
