Pixel,State,lon,lat,Crop,Fraction,CropArea
31321,Gurue,37.23102,-15.43259,Maize,0,0
16151,Moatize,34.29621,-15.57009,Maize,0.00040171,0.040171
39941,Vilanculos,35.31051,-22.07692,Maize,1.3054378,130.54378
34035,Marracuene,32.81876,-25.52842,Maize,0.8522152,85.22152
33447,Barue,33.20006,-18.01015,Maize,0,0
30872,Gurue,36.82925,-15.54649,Maize,0.5917896,59.17896
10567,Lago,35.12687,-12.06707,Maize,0.12028739,12.028739
38092,Chibabava,33.8961,-20.18303,Maize,0.27172703,27.172703
29564,Sanga,35.24149,-13.0163,Maize,0.01699343,1.699343
4948,Cuamba,36.77189,-14.796,Maize,0.00224428,0.224428
26498,Ile,37.29111,-16.04759,Maize,0.05403671,5.403671
1627,N_gauma,35.48396,-14.05782,Maize,0.20678318,20.678318
42877,Pebane,38.55215,-16.41554,Maize,0.00164734,0.164734
38599,Machaze,32.7561,-20.78483,Maize,0.07288294,7.288294
42226,Mutarara,35.28257,-17.52011,Maize,0.04939232,4.939232
17013,Zumbu,31.08527,-15.11032,Maize,1.93181999,193.181999
42710,Mutarara,35.05625,-17.10977,Maize,0.00051082,0.051082
14172,Morrumbala,35.67381,-17.21114,Maize,0.06458052,6.458052
4254,Memba,40.12219,-14.01754,Maize,0.79534565,79.534565
12951,Morrumbala,35.86241,-16.60024,Maize,0,0
39071,Machaze,33.37983,-20.99554,Maize,0.40297777,40.297777
30597,Gurue,37.01026,-15.13253,Maize,0.73813306,73.813306
2368,Maravia,32.07772,-14.40641,Maize,0.23212181,23.212181
43518,Pebane,38.18362,-17.18274,Maize,0.33455275,33.455275
6067,Sussundenga,32.8917,-19.26921,Maize,0,0
16687,Moatize,33.67478,-16.22244,Maize,0.91980131,91.980131
27714,Ile,37.63484,-16.34832,Maize,0.00924496,0.924496
5202,Cuamba,36.46675,-14.68444,Maize,0.03507598,3.507598
23993,Alto_Molocue,37.59255,-15.70633,Maize,0.03310305,3.310305
29291,Mossurize,32.55289,-20.84024,Maize,0.15542952,15.542952
24936,Chiuta,33.49324,-15.70452,Maize,0.00029001,0.029001
17933,Tambara,34.17648,-16.6761,Maize,2.47772671,247.772671
40007,Vilanculos,35.10811,-22.39692,Maize,1.30512953,130.512953
38874,Machaze,33.28751,-20.90244,Maize,0.40370308,40.370308
27182,Ile,37.15103,-16.03739,Maize,0.07211026,7.211026
5622,Cuamba,36.43648,-14.89188,Maize,0.94085756,94.085756
33798,Barue,33.0188,-17.80665,Maize,0.62087128,62.087128
37974,Tsangano,34.44118,-15.3207,Maize,0.44405593,44.405593
27945,Ile,37.48445,-16.42862,Maize,0.0018954,0.18954
31757,Gurue,36.90444,-15.48396,Maize,0.17572492,17.572492
321,Ribaue,38.11839,-14.92261,Maize,0.00722104,0.722104
32064,Macossa,33.29814,-17.58997,Maize,0.47313841,47.313841
17254,Chifunde,33.25668,-14.12312,Maize,0.04291403,4.291403
8920,Mecuburi,38.77897,-14.49925,Maize,0.02741933,2.741933
18273,Mecanhelas,36.17491,-15.00621,Maize,0.17041806,17.041806
18683,Mecanhelas,36.11941,-14.98745,Maize,0.04774177,4.774177
5873,Cuamba,36.52801,-15.01032,Maize,0.84553112,84.553112
19004,Mecanhelas,35.89321,-15.21022,Maize,0.02640759,2.640759
19152,Mecanhelas,35.86438,-15.27303,Maize,0.08668465,8.668465
13417,Morrumbala,35.59553,-16.86683,Maize,0.54827575,54.827575
3303,Gorongosa,34.20413,-18.47033,Maize,0.34181142,34.181142
15261,Morrumbala,35.51832,-17.4883,Maize,0.41985886,41.985886
2995,Panda,34.75821,-23.96592,Maize,0.70723235,70.723235
938,Mogovolas,39.43146,-15.90933,Maize,0.85093529,85.093529
41765,Macanga,33.7833,-14.88287,Maize,0,0
2122,Malema,37.08653,-14.92534,Maize,0.68302597,68.302597
2646,Maravia,31.76544,-14.65738,Maize,0.22276362,22.276362
24725,Alto_Molocue,37.69202,-16.19503,Maize,0.18206104,18.206104
12201,Mueda,39.55148,-11.30675,Maize,0.0301536,3.01536
24278,Alto_Molocue,37.64793,-15.79707,Maize,0.00140638,0.140638
4329,Memba,40.45797,-14.40444,Maize,0.65323574,65.323574
38124,Chibabava,33.76947,-20.26037,Maize,0.24630678,24.630678
24140,Alto_Molocue,37.54558,-15.75122,Maize,5.48E-05,0.005481
35409,Nampula,39.24377,-15.19541,Maize,1.13801255,113.801255
15503,Morrumbala,35.44117,-17.5862,Maize,0.12667771,12.667771
37202,Tsangano,34.47103,-14.78933,Maize,1.3759484,137.59484
6432,Sussundenga,33.35027,-19.97724,Maize,2.00223848,200.223848
18778,Mecanhelas,36.01648,-15.04031,Maize,0.07300138,7.300138
20983,Meconta,39.69919,-14.9594,Maize,0.23316169,23.316169
18916,Mecanhelas,35.89414,-15.14703,Maize,0.24703004,24.703004
14403,Morrumbala,35.87949,-17.2686,Maize,0.51715842,51.715842
15187,Morrumbala,35.66925,-17.46381,Maize,0.51133531,51.133531
40759,Maganja_da_Cost,37.47767,-17.27805,Maize,0.11049929,11.049929
3657,Gorongosa,34.1328,-18.98219,Maize,0.91758144,91.758144
21417,Manica,33.04497,-18.95932,Maize,1.01777444,101.777444
18681,Mecanhelas,36.10084,-14.98722,Maize,0.17871754,17.871754
37964,Tsangano,34.40424,-15.31092,Maize,0.0002248,0.02248
23007,Alto_Molocue,37.44591,-15.35286,Maize,0.28926394,28.926394
6973,Nhamatanda,34.16279,-19.25334,Maize,0.62759736,62.759736
39510,Mabote,33.91188,-22.23753,Maize,0.34485228,34.485228
30148,Gondola,33.3864,-18.934,Maize,2.07412979,207.412979
29691,Sanga,35.24026,-13.0975,Maize,0.00475536,0.475536
3030,Panda,34.64888,-24.00792,Maize,0.70668113,70.668113
25220,Chiuta,33.34288,-15.76369,Maize,0.02381405,2.381405
42419,Mutarara,35.12372,-17.47196,Maize,0.10972665,10.972665
27628,Ile,37.12962,-16.32637,Maize,0.01940138,1.940138
8115,Manhica,32.82127,-25.2856,Maize,0.46642261,46.642261
8674,Mecuburi,39.07579,-14.02013,Maize,0.59271322,59.271322
754,Ribaue,38.35026,-15.11324,Maize,0.09011869,9.011869
425,Ribaue,38.3135,-14.96848,Maize,1.66386388,166.386388
36721,Maringue,34.62817,-18.13796,Maize,0.43906841,43.906841
29732,Sanga,35.23078,-13.11542,Maize,0.83396529,83.396529
20958,Meconta,39.80124,-14.89578,Maize,0.04568237,4.568237
19353,Mecanhelas,36.11476,-15.33058,Maize,0.11931191,11.931191
6153,Sussundenga,33.30352,-19.41759,Maize,1.99965981,199.965981
42209,Mutarara,35.22635,-17.51003,Maize,0.0814496,8.14496
27521,Ile,37.68201,-16.29439,Maize,0.20187504,20.187504
26114,Ile,37.19187,-15.64917,Maize,0.01754961,1.754961
3567,Gorongosa,34.15159,-18.65825,Maize,0.63511941,63.511941
14828,Morrumbala,35.84022,-17.36729,Maize,0.12691186,12.691186
